"ID","NAME","SITE","GENDER","AGE","SALARY","SOCIAL_SECURITY","HOME_TELEPHONE"
"1","Henry Brubaker","Madrid","Male","29","91000","00-72414-0515-1","+34 661 725 273"
"5","Harvey Denton","Madrid","Male","19","45000","01-05486-0246-7","+34 305 728 166"
"7","Luciana Trujillo","Barcelona","Female","24","92000","02-17506-7383-7","+34 902 065 788"
"9","Edward Tattsyrup","Barcelona","Male","18","78000","03-50654-5442-6","+34 479 123 165"
"11","Joaquin Barry","Madrid","Male","20","34000","04-89319-9572-E","+34 048 774 225"
"13","Zack Winters","Madrid","Male","20","87000","05-75416-4706-C","+34 502 352 085"
"14","Dave Parkes","Madrid","Male","22","65000","06-02118-6003-E","+34 602 261 419"
"17","Les McQueen","Barcelona","Male","18","72000","07-63717-8994-1","+34 754 543 372"
"20","Little Don","Barcelona","Male","24","28000","08-06696-9638-C","+34 546 806 722"
"31","Tom Booker","Barcelona","Male","24","65000","09-78444-6099-B","+34 645 525 607"
"40","Judee Levinson","Barcelona","Female","24","87000","0A-91217-9068-9","+34 153 398 578"
"48","Julian Cook","Madrid","Male","22","36000","0B-27555-1206-E","+34 017 343 792"
"2","Jaylene Jennings","Paris","Female","19","67000","0C-28013-1396-A","+33 436 58 28 06"
"6","Pamela Doove","Nantes","Female","21","78000","0D-11284-0923-0","+33 914 84 28 34"
"8","Demarcus Collins","Bordeaux","Male","18","67000","0E-72019-4775-4","+33 033 77 25 28"
"10","Benjamin Denton","Paris","Male","19","98000","0F-04514-7381-4","+33 287 66 84 42"
"12","Emily Crane","Bordeaux","Female","21","92000","10-73189-0353-6","+33 984 68 59 71"
"15","Aryan Lucas","Paris","Male","19","89000","11-25608-6237-9","+33 898 23 03 87"
"16","Pauline Campbell-Jones","Bordeaux","Female","19","91000","12-92405-0747-B","+33 465 17 41 25"
"18","Sarai Meza","Paris","Female","21","67000","13-57837-0197-F","+33 419 72 57 28"
"23","Stella Hull","Nantes","Female","19","23000","14-63374-3011-6","+33 737 67 53 59"
"24","Hilary Briss","Bordeaux","Male","20","37000","15-36433-3795-1","+33 867 29 65 04"
"25","Ross Gaines","Nantes","Male","18","65000","16-44307-8051-1","+33 117 23 09 62"
"26","Chloe Denton","Paris","Female","20","47000","17-77522-9128-0","+33 744 82 25 85"
"27","Jed Tinsel","Nantes","Male","21","83000","18-10636-6772-9","+33 518 84 98 35"
"30","Gordon Mikefield","Paris","Male","22","68000","19-33467-3938-F","+33 993 27 27 28"
"32","Samuel Chignell","Nantes","Male","23","81000","1A-85083-7212-E","+33 257 44 93 46"
"33","Tom Logan","Bordeaux","Male","20","83000","1B-23557-3612-5","+33 142 51 91 05"
"34","Ulises Villarreal","Paris","Female","19","54000","1C-96253-0807-1","+33 363 37 76 34"
"35","Mike King","Nantes","Male","18","56000","1D-61544-2481-3","+33 146 53 78 05"
"37","Francis Joyce","Nantes","Female","19","76000","1E-99332-8526-F","+33 888 28 52 44"
"38","Radclyffe Denton","Paris","Female","21","92000","1F-17458-3486-B","+33 836 02 43 31"
"39","Mickey Michaels","Nantes","Male","21","12000","20-82173-6155-7","+33 604 26 65 82"
"41","Madrid Hammond","Paris","Male","22","87000","21-16571-2016-D","+33 514 06 37 02"
"43","Val Denton","Bordeaux","Female","19","91000","22-95115-6765-9","+33 865 39 09 79"
"44","Terry Lollard","Bordeaux","Male","27","62000","23-23053-2037-3","+33 895 26 79 71"
"46","Eve Lucero","Bordeaux","Female","21","73000","24-59034-2485-3","+33 098 76 74 57"
"49","Tulip Tattsyrup","Paris","Female","20","43000","25-11301-9275-7","+33 133 63 62 98"
"50","Brian Morgan","Nantes","Male","23","52000","26-12572-1984-8","+33 775 92 52 59"
"4","Lydia Wong","Dallas","Female","18","81000","27-35377-0902-7","+1 033 648 6051"
"21","Marely Strong","Dallas","Male","23","53000","28-70973-3519-B","+1 377 134 2714"
"28","Stephen Malley","Dallas","Male","24","37000","29-26351-3373-8","+1 324 406 3833"
"3","Dean Tavalouris","Boston","Male","20","76000","2A-44116-6887-6","+1 167 285 0284"
"19","Geoff Tipps","Boston","Male","20","38000","2B-94748-1669-4","+1 843 226 3258"
"22","Papa Reilly","Boston","Male","28","98000","2C-71884-6168-9","+1 767 811 5315"
"29","Nikki Hollis","Vancouver","Female","23","64000","2D-83505-2497-8","+1 565 777 8534"
"36","Ira Carlton","Vancouver","Female","23","54000","2E-55759-0336-2","+1 182 111 8348"
"42","Christopher Frost","Vancouver","Male","23","75000","2F-61274-2934-D","+1 272 226 1344"
"45","Reenie Calver","Toronto","Female","18","65000","30-80006-8353-2","+1 023 926 2557"
"47","Kathleen Estrada","Toronto","Female","23","84000","31-73196-1306-E","+1 229 127 7292"
